IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (55405 -> 53) | bytes : 94 | first_exchange : 8.483 | last_exchange : 8.483
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 55405) | bytes : 500 | first_exchange : 8.486 | last_exchange : 8.486
IPv4Addr(172.21.140.38) -> IPv4Addr(142.251.209.36) | UDP (55838 -> 443) | bytes : 38491 | first_exchange : 9.026 | last_exchange : 18.479
IPv4Addr(142.251.209.36) -> IPv4Addr(172.21.140.38) | UDP (443 -> 55838) | bytes : 508296 | first_exchange : 9.034 | last_exchange : 18.482
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (53052 -> 53) | bytes : 87 | first_exchange : 13.914 | last_exchange : 13.914
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (60586 -> 53) | bytes : 87 | first_exchange : 13.918 | last_exchange : 13.918
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 53052) | bytes : 358 | first_exchange : 13.923 | last_exchange : 13.923
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 60586) | bytes : 144 | first_exchange : 13.935 | last_exchange : 13.935
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (59336 -> 53) | bytes : 85 | first_exchange : 15.536 | last_exchange : 15.536
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (62675 -> 53) | bytes : 85 | first_exchange : 15.540 | last_exchange : 15.540
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (56111 -> 53) | bytes : 86 | first_exchange : 15.545 | last_exchange : 15.545
IPv4Addr(172.21.140.38) -> IPv4Addr(130.192.3.21) | UDP (52978 -> 53) | bytes : 86 | first_exchange : 15.550 | last_exchange : 15.550
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 59336) | bytes : 385 | first_exchange : 15.555 | last_exchange : 15.555
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 56111) | bytes : 357 | first_exchange : 15.560 | last_exchange : 15.560
IPv4Addr(130.192.3.21) -> IPv4Addr(172.21.140.38) | UDP (53 -> 62675) | bytes : 171 | first_exchange : 15.564 | last_exchange : 15.564
IPv4Addr(172.21.140.38) -> IPv4Addr(142.250.184.65) | UDP (62468 -> 443) | bytes : 5470 | first_exchange : 15.570 | last_exchange : 16.044
