IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (53030 -> 53) | bytes : 74 | first_exchange : 7.665 | last_exchange : 7.665
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (57529 -> 53) | bytes : 74 | first_exchange : 7.665 | last_exchange : 7.665
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 53030) | bytes : 90 | first_exchange : 7.667 | last_exchange : 7.667
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 57529) | bytes : 99 | first_exchange : 7.668 | last_exchange : 7.668
IPv4Addr(192.168.1.219) -> IPv4Addr(142.250.184.36) | UDP (54544 -> 443) | bytes : 9757 | first_exchange : 7.670 | last_exchange : 20.646
IPv4Addr(142.250.184.36) -> IPv4Addr(192.168.1.219) | UDP (443 -> 54544) | bytes : 59190 | first_exchange : 7.684 | last_exchange : 20.647
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (51844 -> 53) | bytes : 86 | first_exchange : 8.267 | last_exchange : 8.267
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (52445 -> 53) | bytes : 86 | first_exchange : 8.267 | last_exchange : 8.267
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 51844) | bytes : 102 | first_exchange : 8.268 | last_exchange : 8.268
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 52445) | bytes : 143 | first_exchange : 8.270 | last_exchange : 8.270
IPv4Addr(192.168.1.219) -> IPv4Addr(142.250.180.174) | UDP (64085 -> 443) | bytes : 2194 | first_exchange : 8.271 | last_exchange : 8.300
IPv4Addr(142.250.180.174) -> IPv4Addr(192.168.1.219) | UDP (443 -> 64085) | bytes : 4228 | first_exchange : 8.281 | last_exchange : 8.299
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (52933 -> 53) | bytes : 74 | first_exchange : 12.085 | last_exchange : 12.085
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (51653 -> 53) | bytes : 74 | first_exchange : 12.086 | last_exchange : 12.086
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 51653) | bytes : 145 | first_exchange : 12.087 | last_exchange : 12.087
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 52933) | bytes : 111 | first_exchange : 12.088 | last_exchange : 12.088
IPv4Addr(192.168.1.219) -> IPv4Addr(142.250.180.174) | UDP (52004 -> 443) | bytes : 5585 | first_exchange : 12.090 | last_exchange : 12.212
IPv4Addr(142.250.180.174) -> IPv4Addr(192.168.1.219) | UDP (443 -> 52004) | bytes : 20886 | first_exchange : 12.116 | last_exchange : 12.212
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (60751 -> 53) | bytes : 75 | first_exchange : 12.241 | last_exchange : 12.241
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (50665 -> 53) | bytes : 75 | first_exchange : 12.241 | last_exchange : 12.241
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (58466 -> 53) | bytes : 75 | first_exchange : 12.242 | last_exchange : 12.242
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (49382 -> 53) | bytes : 75 | first_exchange : 12.243 | last_exchange : 12.243
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 58466) | bytes : 91 | first_exchange : 12.244 | last_exchange : 12.244
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 60751) | bytes : 91 | first_exchange : 12.245 | last_exchange : 12.245
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 50665) | bytes : 132 | first_exchange : 12.246 | last_exchange : 12.246
IPv4Addr(192.168.1.219) -> IPv4Addr(142.251.209.3) | UDP (60373 -> 443) | bytes : 1682 | first_exchange : 12.247 | last_exchange : 12.444
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 49382) | bytes : 132 | first_exchange : 12.249 | last_exchange : 12.249
IPv4Addr(142.251.209.3) -> IPv4Addr(192.168.1.219) | UDP (443 -> 60373) | bytes : 2571 | first_exchange : 12.250 | last_exchange : 12.443
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (61472 -> 53) | bytes : 75 | first_exchange : 12.445 | last_exchange : 12.445
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (49698 -> 53) | bytes : 75 | first_exchange : 12.446 | last_exchange : 12.446
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 49698) | bytes : 125 | first_exchange : 12.447 | last_exchange : 12.447
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (53 -> 61472) | bytes : 91 | first_exchange : 12.448 | last_exchange : 12.448
IPv4Addr(192.168.1.219) -> IPv4Addr(142.250.184.110) | UDP (51205 -> 443) | bytes : 5520 | first_exchange : 12.448 | last_exchange : 12.702
IPv4Addr(142.250.184.110) -> IPv4Addr(192.168.1.219) | UDP (443 -> 51205) | bytes : 3561 | first_exchange : 12.450 | last_exchange : 12.701
IPv4Addr(192.168.1.1) -> IPv4Addr(192.168.1.219) | UDP (54858 -> 137) | bytes : 92 | first_exchange : 20.649 | last_exchange : 20.649
IPv4Addr(192.168.1.219) -> IPv4Addr(192.168.1.1) | UDP (137 -> 54858) | bytes : 199 | first_exchange : 20.649 | last_exchange : 20.649
IPv4Addr(192.168.1.219) -> IPv4Addr(239.255.255.250) | UDP (53816 -> 1900) | bytes : 868 | first_exchange : 20.651 | last_exchange : 24.557
IPv4Addr(192.168.1.209) -> IPv4Addr(192.168.1.219) | UDP (60000 -> 53816) | bytes : 1616 | first_exchange : 20.652 | last_exchange : 24.557
